date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:46:19	301/301	---MCZ	200	added ('OK')	text/plain	date:Wed,%2009%20Nov%202022%2016:16:18%20GMT	https://ascelibrary.org/robots.txt		(from )
21:46:19	257669/257669	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2016:16:17%20GMT	https://ascelibrary.org/journal/jaeeez	C:/My%20Web%20Sites/vin16/ascelibrary.org/journal/jaeeez.html	(from )
21:46:20	5861/5861	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Nov%202017%2014:46:23%20GMT	https://ascelibrary.org/cms/asset/a7422078-c3ec-4f93-bdde-3b58f8ac4f81/large_placeholder_cover.jpg	C:/My%20Web%20Sites/vin16/ascelibrary.org/cms/asset/a7422078-c3ec-4f93-bdde-3b58f8ac4f81/large_placeholder_cover.jpg	(from https://ascelibrary.org/journal/jaeeez)
21:46:20	77164/77164	---MCZ	200	added ('OK')	text/css	etag:%2295ff54778406957df0cbef787020bb58fbc66edd%22	https://ascelibrary.org/wro/lr5a~article-metrics-phase2.css	C:/My%20Web%20Sites/vin16/ascelibrary.org/wro/lr5a_article-metrics-phase2.css	(from https://ascelibrary.org/journal/jaeeez)
21:46:20	269225/269225	---MCZ	200	added ('OK')	text/css	etag:%22dabe2492c7628e1c4f4f69df271ab7be33fc0f75%22	https://ascelibrary.org/wro/lr5a~product.css	C:/My%20Web%20Sites/vin16/ascelibrary.org/wro/lr5a_product.css	(from https://ascelibrary.org/journal/jaeeez)
21:46:21	681324/681324	---MCZ	200	added ('OK')	text/css	date:Wed,%2026%20Oct%202022%2010:05:57%20GMT	https://ascelibrary.org/pb/css/t1666777028000-v1666777028000/head_3_4_184_en.css	C:/My%20Web%20Sites/vin16/ascelibrary.org/pb/css/t1666777028000-v1666777028000/head_3_4_184_en.css	(from https://ascelibrary.org/journal/jaeeez)
21:46:21	75/75	---MCZ	404	error ('Not%20Found')	text/plain	date:Wed,%2009%20Nov%202022%2016:16:21%20GMT	https://ascelibrary.org/journal/t1666777028000-v1666777028000/head_3_4_184_en.css	C:/My%20Web%20Sites/vin16/ascelibrary.org/journal/t1666777028000-v1666777028000/head_3_4_184_en.css	(from https://ascelibrary.org/journal/jaeeez)
21:46:22	3957/3957	---M-Z	200	added ('OK')	text/javascript	etag:%22bd136e59a2c8cfee840456442216149a4977f884%22	https://ascelibrary.org/wro/lr5a~loadinview.js	C:/My%20Web%20Sites/vin16/ascelibrary.org/wro/lr5a_loadinview.js	(from https://ascelibrary.org/journal/jaeeez)
21:46:24	1199940/1199940	---MCZ	200	added ('OK')	text/javascript	etag:%22e082d797361540bf30db275ca618a3bd74ebd8a7%22	https://ascelibrary.org/wro/lr5a~product.js	C:/My%20Web%20Sites/vin16/ascelibrary.org/wro/lr5a_product.js	(from https://ascelibrary.org/journal/jaeeez)
21:46:24	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2009%20Nov%202022%2016:16:23%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/vin16/www.googletagmanager.com/gtm.85445.delayed	(from https://ascelibrary.org/journal/jaeeez)
21:46:25	6088/6088	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2009%20Nov%202022%2016:16:24%20GMT	http://script.crazyegg.com/pages/scripts/0086/6567.js	C:/My%20Web%20Sites/vin16/script.crazyegg.com/pages/scripts/0086/6567.js	(from https://ascelibrary.org/journal/jaeeez)
21:46:25	6217/6217	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263490025-1849%22	http://rum-static.pingdom.net/prum.min.js	C:/My%20Web%20Sites/vin16/rum-static.pingdom.net/prum.min.js	(from https://ascelibrary.org/journal/jaeeez)
21:46:26	2624/2624	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Nov%202016%2006:54:42%20GMT	https://ascelibrary.org/pb-assets/ASCE_Library_logo_white-1478674482647.png	C:/My%20Web%20Sites/vin16/ascelibrary.org/pb-assets/ASCE_Library_logo_white.png	(from https://ascelibrary.org/journal/jaeeez)
21:46:26	19204/19204	---M--	200	added ('OK')	image/jpeg	date:Wed,%2017%20Feb%202016%2022:50:46%20GMT	https://ascelibrary.org/pb-assets/ASCE_logo_menudrawer-1455749446067.jpg	C:/My%20Web%20Sites/vin16/ascelibrary.org/pb-assets/ASCE_logo_menudrawer.jpg	(from https://ascelibrary.org/journal/jaeeez)
21:46:27	110105/110105	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2016:16:26%20GMT	https://ascelibrary.org/journal/geosek	C:/My%20Web%20Sites/vin16/ascelibrary.org/journal/geosek.html	(from https://ascelibrary.org/journal/jaeeez)
21:46:28	213472/213472	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2016:16:26%20GMT	https://ascelibrary.org/journal/ciegag	C:/My%20Web%20Sites/vin16/ascelibrary.org/journal/ciegag.html	(from https://ascelibrary.org/journal/jaeeez)
21:46:29	22430/22430	---M--	200	added ('OK')	image/jpeg	etag:%22139a96b2ea6a529b%22	https://ascelibrary.org/sda/101922/Ad_Editage_2.jpg	C:/My%20Web%20Sites/vin16/ascelibrary.org/sda/101922/Ad_Editage_2.jpg	(from https://ascelibrary.org/journal/jaeeez)
21:46:29	257707/257707	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2016:16:27%20GMT	https://ascelibrary.org/journal/jaeeez?expanded=	C:/My%20Web%20Sites/vin16/ascelibrary.org/journal/jaeeezb727.html	(from https://ascelibrary.org/journal/jaeeez)
